train_losses,train_accs,val_losses,val_accs
0.6604063351333669,0.6491666666666667,0.6035723779919059,0.7625
0.24952330834240513,0.8908333333333334,0.3284816542467059,0.8698529411764706
0.16612827642697148,0.9322222222222222,0.13832691994490276,0.9558823529411765
0.0590567899521737,0.9783333333333334,0.06560026417482309,0.9735294117647059
0.0908852013124697,0.965,0.031590318021149276,0.9882352941176471
0.040968650461594876,0.9869444444444444,0.03781869767112238,0.9875
0.025576904800357875,0.9913888888888889,0.03295909269844171,0.9860294117647059
0.04125377614271571,0.9877777777777778,0.043420342144473094,0.9889705882352942
0.02059222577424077,0.9925,0.0007324978229684517,1.0
0.004709258283059879,0.9988888888888889,0.00018480145112081056,1.0
0.0014604948171240842,1.0,6.501923049062349e-05,1.0
0.0017418599554489005,1.0,0.0006413314309336488,1.0
0.06728937939495525,0.9727777777777777,0.04796496208494551,0.9838235294117647
0.020628425843583056,0.9925,0.018738726659556282,0.9955882352941177
0.0068604375961529235,0.9975,0.0019160632236995552,0.9992647058823529
