train_losses,train_accs,val_losses,val_accs
0.49014834385542644,0.8089285714285714,0.09308047693222761,0.969375
0.12411588673435506,0.955654761904762,0.12872278875787743,0.961875
0.09429273009300232,0.9678571428571429,0.01311943673672431,0.9975
0.032384438141958696,0.9892857142857143,0.019874538251024206,0.991875
0.06221694696605915,0.981547619047619,0.005653966431855224,0.99875
0.011730783875654674,0.9976190476190476,0.00022829903977253707,1.0
0.01117318289027372,0.9964285714285714,0.028046886711235855,0.990625
0.029648801866763583,0.9910714285714286,0.011159364788800303,0.998125
0.02608393971763906,0.9910714285714286,0.00412259403518874,0.999375
0.00647577776981052,0.9982142857142857,0.006930283236333708,0.999375
0.012401617432173918,0.9973214285714286,0.005661270710552344,0.9975
0.035304802882906404,0.9907738095238096,0.3939151870535716,0.92125
0.006197692336060018,0.9985119047619048,0.0005591181599993434,1.0
0.0026206084080816557,1.0,0.00047263030913654805,1.0
0.0018543094137428505,0.999702380952381,0.00029191564653388016,1.0
0.0013557352375106087,1.0,0.00018293506679583515,1.0
0.001132876080200298,1.0,0.00012998534652069793,1.0
0.0008307304834098821,1.0,0.00015301091091714624,1.0
0.0008057949399309499,1.0,0.00010521097824494064,1.0
0.000580247423065538,1.0,8.673195718756687e-05,1.0
0.0007705621604275491,1.0,8.884146824129857e-05,1.0
0.0006324520429535326,1.0,7.997679503887411e-05,1.0
0.00033481673377710173,1.0,5.996760635071041e-05,1.0
0.00038323258382401296,1.0,6.000313838740112e-05,1.0
0.00033190802551828145,1.0,4.765843806922021e-05,1.0
