train_losses,train_accs,val_losses,val_accs
0.7705004759398955,0.7777777777777778,0.414761501492064,0.8568181818181818
0.19417663039556438,0.9327191513121161,0.06982026847403436,0.975
0.0729706841146773,0.9751535455053043,0.5278412680490874,0.8681818181818182
0.07784654815207302,0.9782244556113903,0.02592270863559471,0.9943181818181818
0.06778659281605671,0.9824120603015075,0.10028966506958373,0.9806818181818182
0.008503730038358168,0.9977666108319375,0.01276190038701738,0.9965909090909091
0.12059546072876921,0.9631490787269682,0.2415509132441522,0.9227272727272727
0.13326691755043743,0.957286432160804,0.048422778862134565,0.9840909090909091
0.014290273688077702,0.9963707426018984,0.0058479986285939435,1.0
0.0015511248438997427,1.0,0.00014073040832077562,1.0
0.00039716437493098056,1.0,7.803001014800819e-05,1.0
0.00033877813091619046,1.0,4.483560927123368e-05,1.0
0.0002696650770254954,1.0,4.1621780772922125e-05,1.0
0.00018831992323953273,1.0,2.609278446438371e-05,1.0
0.0001221188722005146,1.0,1.6585464468984617e-05,1.0
0.00019488694003858394,1.0,2.2311913645418307e-05,1.0
8.878864484326446e-05,1.0,1.0897767097617361e-05,1.0
0.02234143984595757,0.9930206588498046,0.8601317191132694,0.8261363636363637
0.1714866187955652,0.946677833612507,0.03009214909772189,0.9897727272727272
0.007816285942876025,0.9980457844779452,0.011773378698194392,0.9977272727272727
0.050616429966144745,0.9829704075935232,0.011308939556881472,0.9965909090909091
0.042210265626246316,0.9860413176996091,0.010566681947500853,0.9965909090909091
0.02896281693509601,0.9902289223897264,0.010072993587592853,0.9977272727272727
0.0033254147540446866,0.9994416527079844,0.0001601853087862537,1.0
0.0023326959165258032,0.9994416527079844,0.00011115819060185978,1.0
