train_losses,train_accs,val_losses,val_accs
0.3656063749067551,0.8205555555555556,0.3438549298055657,0.8404411764705882
0.10199179443473046,0.9552777777777778,0.2850887822127658,0.9036764705882353
0.0890584898601591,0.9636111111111111,0.2628266304511779,0.9102941176470588
0.06888677414910521,0.9727777777777777,0.04041905127880539,0.986764705882353
0.027762184044206103,0.9905555555555555,0.004515709555324155,1.0
0.03588632744272338,0.9847222222222223,0.14740509291530962,0.9375
0.03427848593739842,0.9875,0.005364731798278793,1.0
0.10578012342803773,0.9591666666666666,0.10895040819895953,0.950735294117647
0.02392827601103005,0.9922222222222222,0.0021070118464763254,1.0
0.04121310985029007,0.9844444444444445,0.0007075746750853044,1.0
0.009022048420316037,0.9975,0.00018143081755884414,1.0
0.004791882213174708,0.9983333333333333,0.0007577754379469855,1.0
0.004333378084252982,0.9983333333333333,0.0001135873861310047,1.0
0.012463168449832777,0.9966666666666667,0.07111373363327163,0.9808823529411764
0.039125471830469,0.9836111111111111,0.0006811032834958115,1.0
