train_losses,train_accs,val_losses,val_accs
0.3425415524569668,0.8608267716535433,0.13719037485731056,0.9484814398200225
0.08945764029748644,0.9667604049493813,0.04914780772247573,0.9824521934758155
0.056364584924719026,0.9808492688413948,0.034233260520385486,0.9876265466816648
0.04209274599567488,0.9847019122609674,0.014384625931630554,0.9950506186726659
0.02967457049743375,0.9895669291338582,0.026958204926977355,0.9901012373453318
0.028596316323815086,0.9912260967379077,0.056441879830416965,0.9820022497187851
0.02403270296263341,0.9918447694038245,0.01600636446324224,0.9950506186726659
0.02215780413455001,0.9928008998875141,0.01735893883890005,0.9930258717660293
0.013714670401487055,0.9954724409448819,0.01184092936095073,0.9943757030371203
0.017763993362836537,0.9940101237345332,0.00525384130490912,0.9982002249718785
