train_losses,train_accs,val_losses,val_accs
0.3267938950584483,0.865128234097842,0.18718448324169187,0.9362855851784907
0.08976838685639031,0.9677437577674839,0.1921801224967344,0.9256665160415726
0.05707495103987916,0.9805389221556886,0.03187128654852838,0.9898328061455038
0.042764825829035645,0.9838153880917411,0.035765013866471594,0.9871215544509715
0.028209249732589644,0.9901141113998418,0.06448737361747688,0.9760506100316313
0.027629954206851288,0.9901141113998418,0.027554969977710054,0.9891549932218707
0.025453012074470344,0.9907637555078522,0.05239865608118046,0.981924988703118
0.023081085048795465,0.9924302338718789,0.021736985672315124,0.9923181201988251
0.016580939982597184,0.9946051293639137,0.01644653662411957,0.9941256213285133
0.021671542447810794,0.9933340865438933,0.01472900241271104,0.9961590600994126
